event_type,sub_event_type,month,day,event_date,year,actor1,assoc_actor_1,actor2,assoc_actor_2,city,state,fatalities,source,source_scale,major_media,notes,tags
RIOTS,VIOLENT DEMONSTRATION,6,1,2020-06-01,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER; GOVERNMENT OF THE UNITED STATES (2017-2021); POLICE FORCES OF THE UNITED STATES (2017-2021); DEM: DEMOCRATIC PARTY,POLICE FORCES OF THE UNITED STATES (2017-2021),,KANSAS CITY,MISSOURI,0,CROWD COUNTING CONSORTIUM; KANSAS CITY STAR,OTHER-SUBNATIONAL,NO,"ON 1 JUNE 2020, A FEW HUNDRED PEOPLE, JOINED BY MAYOR QUINTON LUCAS (D) AND THE POLICE CHIEF, STAGED A DEMONSTRATION IN KANSAS CITY (MISSOURI) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT AND AGAINST POLICE BRUTALITY AND THE DEATH OF GEORGE FLOYD. THE DEMONSTRATION TURNED VIOLENT WHEN DEMONSTRATORS THREW ITEMS LIKE BOTTLES AND SHOES AT THE POLICE, WHO RESPONDED WITH PEPPER SPRAY. POLICE ARRESTED MORE THAN 20 PEOPLE.",CROWD SIZE=A FEW HUNDRED
RIOTS,VIOLENT DEMONSTRATION,6,1,2020-06-01,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,POLICE FORCES OF THE UNITED STATES (2017-2021),,GLENDALE,CALIFORNIA,0,CROWD COUNTING CONSORTIUM; KTLA5,OTHER-SUBNATIONAL,NO,"ON 1 JUNE 2020, PEOPLE DEMONSTRATED IN GLENDALE (CALIFORNIA) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT, AGAINST POLICE BRUTALITY, AND THE DEATH OF GEORGE FLOYD. DEMONSTRATORS REPORTEDLY LOOTED ESTABLISHMENTS ACROSS THE CITY IN THE AFTERMATH OF THE EVENT. 39 PEOPLE WERE ARRESTED IN TOTAL ON 31 MAY AND 1 JUNE FOR CURFEW VIOLATION, POSSESSION OF WEAPONS AND BURGLARY, AMONG OTHERS.",ARMED; CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,6,1,2020-06-01,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,POLICE FORCES OF THE UNITED STATES (2017-2021),,CHARLOTTE,NORTH CAROLINA,0,WCNC CHARLOTTE; CROWD COUNTING CONSORTIUM,OTHER-SUBNATIONAL,NO,"ON 1 JUNE 2020, AN UNKNOWN NUMBER OF PEOPLE STAGED A DEMONSTRATION IN CHARLOTTE (NORTH CAROLINA) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT AND AGAINST POLICE BRUTALITY AND THE DEATH OF GEORGE FLOYD. THE DEMONSTRATION TURNED VIOLENT WHEN RIOTERS USED MACHETES, BATS, EXPLOSIVES AND FIREARMS TO THREATEN POLICE OFFICERS WHO RESPONDED WITH TEAR GAS AND FLASH BANGS. SOME PROPERTY DAMAGE OCCURRED. 27 PEOPLE WERE ARRESTED.",ARMED; CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,6,1,2020-06-01,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER; STUDENTS (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2017-2021),SOLE PERPETRATOR (UNITED STATES),UPLAND,CALIFORNIA,0,ABC7 (LOS ANGELES),SUBNATIONAL,NO,"ON 1 JUNE 2020, A GROUP OF MOSTLY HIGH SCHOOL STUDENTS AND YOUNG ADULTS MARCHED IN UPLAND (CALIFORNIA) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT AND AGAINST POLICE BRUTALITY AND THE DEATH OF GEORGE FLOYD. ONE MAN WAS CHARGED AFTER HE BRANDISHED AN ASSAULT RIFLE AT THE GROUP. THE DEMONSTRATION TURNED VIOLENT AFTER THE CURFEW WHEN BETWEEN 50 AND 60 PEOPLE BEGAN THROWING WATER BOTTLES AND ROCKS AT POLICE OFFICERS. POLICE INTERVENED AND DEPLOYED MEASURE SUCH AS PEPPER BALLS.",ARMED; CROWD SIZE=50-60
RIOTS,VIOLENT DEMONSTRATION,6,1,2020-06-01,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER; CIVILIANS (UNITED STATES); JOURNALISTS (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2017-2021),,LAS VEGAS,NEVADA,1,FOX5 (LAS VEGAS); CHANNEL 8 (LAS VEGAS); NORTH-WEST ARKANSAS DEMOCRAT-GAZETTE; US PRESS FREEDOM TRACKER,OTHER-SUBNATIONAL,NO,"ON 1 JUNE 2020, DEMONSTRATORS CLASHED WITH POLICE IN LAS VEGAS (NEVADA) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT. POLICE EMPLOYED RUBBER BULLETS TO DISPERSE THEM, HITTING A JOURNALIST. POLICE ALSO SHOT AND KILLED A DEMONSTRATOR, JORGE GOMEZ. THE POLICE DEPARTMENT CLAIMED THAT GOMEZ WAS IN POSSESSION OF A FIREARM AT THE TIME OF THE SHOOTING. THE FAMILY LAWYER STATED AT A PRESS CONFERENCE ON 19 FEBRUARY 2021 THAT THREE DIFFERENT VIDEOS SHOWED THAT GOMEZ WAS UNARMED. POLICE LATER CLAIMED THAT GOMEZ CARRIED THREE GUNS BUT DID NOT FIRE THEM. (AN OFFICER WAS ALSO SHOT AND SEVERELY INJURED IN A SEPARATE SHOOTING THAT LEFT HIM PARALYZED FROM THE NECK DOWN. ACCORDING TO THE SUSPECT'S ARREST REPORT, HE WAS NOT PART OF THE DEMONSTRATION. VIDEO SHOWS THE SUSPECT WALKING ALONE AND APPEARING TO FIRE SHOTS INTO A CROWD WITHOUT AIMING.)",ARMED; CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,6,1,2020-06-01,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,POLICE FORCES OF THE UNITED STATES (2017-2021),,BENTONVILLE,ARKANSAS,0,KATV7; TWITTER; POLITICAL RESEARCH ASSOCIATES,OTHER-NEW MEDIA,NO,"ON 1 JUNE 2020, AN UNKNOWN NUMBER OF PEOPLE DEMONSTRATED IN BENTONVILLE (ARKANSAS) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT AND AGAINST POLICE BRUTALITY AND THE DEATH OF GEORGE FLOYD. AFTER DARK, DEMONSTRATORS BEGAN THROWING WATER BOTTLES, FIRECRACKERS, AND ROCKS AT OFFICERS. THE OFFICERS RESPONDED WITH TEAR GAS AND NO ARRESTS WERE MADE. A GROUP OF ARMED BOOGALOO BOYS WERE PRESENT AT THE SITE. AT LEAST ONE CARRIED AN AR-15.",ARMED; ARMED PRESENCE; CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,6,1,2020-06-01,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,POLICE FORCES OF THE UNITED STATES (2017-2021),,SALISBURY,NORTH CAROLINA,0,CROWD COUNTING CONSORTIUM; SALISBURY POST,OTHER-SUBNATIONAL,NO,"ON 1 JUNE 2020, A GROUP OF 200 AND 250 PEOPLE STAGED A DEMONSTRATION IN SALISBURY (NORTH CAROLINA) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT AND AGAINST POLICE BRUTALITY AND THE DEATH OF GEORGE FLOYD. A RIOTER THREW A ROCK AT THE FRONT WINDOW OF THE SALISBURY POST. OTHER BYSTANDERS BEGAN THROWING ROCKS TO MOVE THE CROWD BACK TOWARD THE CENTER OF THE DEMONSTRATION. POLICE WORE TACTICAL GEAR AND FORMED A BARRICADE. NO ARRESTS WERE MADE.",CROWD SIZE=250
RIOTS,VIOLENT DEMONSTRATION,6,1,2020-06-01,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,POLICE FORCES OF THE UNITED STATES (2017-2021),,RENTON,WASHINGTON,0,NBC29; Q13 FOX,SUBNATIONAL-NATIONAL,NO,"ON 1 JUNE 2020, MORE THAN 200 PEOPLE STAGED A PEACEFUL DEMONSTRATION OUTSIDE THE CITY HALL IN RENTON (WASHINGTON) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT AND AGAINST POLICE BRUTALITY AND THE DEATH OF GEORGE FLOYD, A BLACK MAN KILLED BY POLICE IN MINNEAPOLIS. THE DEMONSTRATION TURNED VIOLENT WHEN DEMONSTRATORS LOOTED SEVERAL STORES.",CROWD SIZE=MORE THAN 200
RIOTS,VIOLENT DEMONSTRATION,6,1,2020-06-01,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,CIVILIANS (UNITED STATES),,STAFFORD,VIRGINIA,0,ABC7 (WASHINGTON D.C.),NATIONAL,NO,"ON 1 JUNE 2020, ABOUT 200 PEOPLE STAGED A MARCH IN STAFFORD (VIRGINIA) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT AND AGAINST POLICE BRUTALITY AND THE DEATH OF GEORGE FLOYD. SOME PEOPLE BLOCKED TRAFFIC ON A BRIDGE. A MAN BROKE A CAR WINDOW AND 2 PASSENGERS IDENTIFIED AS A CHILD AND AN ADULT WERE INJURED BY THE BROKEN GLASS. THE MAN WAS ARRESTED THE FOLLOWING DAY.",CROWD SIZE=ABOUT 200
RIOTS,VIOLENT DEMONSTRATION,6,1,2020-06-01,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,PRIVATE SECURITY FORCES (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2017-2021),SAINT LOUIS,MISSOURI,1,CNN; FOX9,NATIONAL,YES,"ON 1 JUNE 2020, DEMONSTRATORS THREW ROCKS AT POLICE AND LOOTED BUSINESSES DURING A DEMONSTRATION IN SAINT LOUIS (MISSOURI) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT. ONE FORMER POLICE OFFICER WAS SHOT AND KILLED WHILE RESPONDING TO AN ALARM AT A PAWNSHOP WHERE HE HAD BEEN PROVIDING SECURITY FOR EARLY IN THE MORNING WHEN DEMONSTRATORS LOOTED A SHOP AND 3 OTHERS WERE INJURED.",ARMED; CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,6,1,2020-06-01,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,,,IOWA CITY,IOWA,0,DES MOINES REGISTER; KWWL,SUBNATIONAL,NO,"ON 1 JUNE 2020, HUNDREDS OF PEOPLE MARCHED IN DOWNTOWN IN IOWA CITY (IOWA) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT AND AGAINST POLICE BRUTALITY AND THE DEATH OF GEORGE FLOYD. THE DEMONSTRATION TURNED VIOLENT WHEN PEOPLE SMASHED A DOOR OF THE CITY HALL.",CROWD SIZE=HUNDREDS; LOCAL ADMINISTRATORS
RIOTS,VIOLENT DEMONSTRATION,6,1,2020-06-01,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER; GOVERNMENT OF THE UNITED STATES (2017-2021); DEM: DEMOCRATIC PARTY,POLICE FORCES OF THE UNITED STATES (2017-2021),,OLYMPIA,WASHINGTON,0,CROWD COUNTING CONSORTIUM; OLYMPIAN,OTHER-SUBNATIONAL,NO,"ON 1 JUNE 2020, ABOUT 250 PEOPLE DEMONSTRATED IN OLYMPIA (WASHINGTON) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT AND AGAINST POLICE BRUTALITY AND THE DEATH OF GEORGE FLOYD. THERE WERE TWO DEMONSTRATIONS, ONE OF THEM WITH ABOUT 150 PEOPLE GATHERED AT CAPITAL MALL IS WEST OLYMPIA FOR A RALLY. THE OTHER GROUP OF MORE THAN 100 GATHERED AT CITY HALL. LATER BOTH GROUPS MERGED, FORMING A GROUP OF SEVERAL HUNDRED PEOPLE. MAYOR CHERYL SELBY (D) JOINED THE CROWD AND KNEELED WITH THEM. THE DEMONSTRATION TURNED VIOLENT WHEN RIOTERS THREW GLASS BOTTLES AND ROCKS AT THE CITY HALL BUILDING AND OFFICERS. POLICE INTERVENED WITH TEAR GAS, PEPPER BALLS AND FLASHBANGS TO DISPERSE THE CROWD. SOME PEOPLE WERE ARRESTED.",CROWD SIZE=ABOUT 250; LOCAL ADMINISTRATORS
RIOTS,VIOLENT DEMONSTRATION,6,1,2020-06-01,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,POLICE FORCES OF THE UNITED STATES (2017-2021),,LYNCHBURG,VIRGINIA,0,NBC12,SUBNATIONAL,NO,"ON 1 JUNE 2020, PEOPLE HELD A DEMONSTRATION IN LYNCHBURG (VIRGINIA) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT AND AGAINST POLICE BRUTALITY. AT NIGHT, DEMONSTRATORS DAMAGED SOME PROPERTIES AND VEHICLES FROM THE POLICE DEPARTMENT, AS WELL AS THREW ROCKS AND ASSAULTED OFFICERS. POLICE RESPONDED WITH AN UNKNOWN CHEMICAL AGENT AND ARRESTED 2 PEOPLE. TWO POLICE OFFICERS WERE INJURED.",CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,6,1,2020-06-01,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER; CIVILIANS (UNITED STATES); JOURNALISTS (UNITED STATES); SOLE PERPETRATOR (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2017-2021),,BUFFALO,NEW YORK,0,COMMITTEE TO PROTECT JOURNALISTS; NEW YORK DAILY NEWS; US PRESS FREEDOM TRACKER; WIVB4,OTHER-SUBNATIONAL,NO,"ON 1 JUNE 2020, PEOPLE STAGED A DEMONSTRATION IN BUFFALO (NEW YORK) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT. A WOMAN DROVE INTO A LINE OF POLICE OFFICERS DURING THE DEMONSTRATION, INJURING A MAN AND TWO OFFICERS, AND SHE WAS THEN SHOT AND INJURED BY POLICE, WHO ALSO SHOT PEPPER BALLS AT A NEWS CREW.",CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,6,1,2020-06-01,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,POLICE FORCES OF THE UNITED STATES (2017-2021),,SALT LAKE CITY,UTAH,0,KATU; SPOKESMAN REVIEW,NATIONAL,NO,"ON 1 JUNE 2020, DOZENS OF BLACK LIVES MATTER MOVEMENT DEMONSTRATORS GATHERED IN SALT LAKE CITY (UTAH) TO DENOUNCE THE KILLING OF GEORGE FLOYD, A BLACK MAN KILLED BY POLICE IN MINNEAPOLIS. DEMONSTRATORS THREW ROCKS AND WATER BOTTLES AT THE POLICE WHO THEN FIRED RUBBER BULLETS.",CROWD SIZE=DOZENS
RIOTS,VIOLENT DEMONSTRATION,6,1,2020-06-01,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,POLICE FORCES OF THE UNITED STATES (2017-2021),,LEXINGTON,KENTUCKY,0,AP; WKYT,SUBNATIONAL-INTERNATIONAL,YES,"ON 1 JUNE 2020, AN UNREPORTED NUMBER OF PEOPLE STAGED A MARCH IN LEXINGTON (KENTUCKY) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT AND AGAINST POLICE BRUTALITY AND THE DEATH OF GEORGE FLOYD. ONE PERSON TRIED TO TOPPLE OVER A POLICE CAR AND BREAK THE CAR WINDOW. THE PERSON WAS ARRESTED ALONG WITH ANOTHER PERSON, BOTH OF WHOM WERE CHARGED WITH DISORDERLY CONDUCT AND MENACING.",CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,6,1,2020-06-01,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER; CIVILIANS (UNITED STATES); JOURNALISTS (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2017-2021),,NEW YORK - MANHATTAN,NEW YORK,0,AP; COMMITTEE TO PROTECT JOURNALISTS; US PRESS FREEDOM TRACKER,OTHER-INTERNATIONAL,YES,"ON 1 JUNE 2020, SEVERAL GROUPS OF PEOPLE LOOTED LUXURY STORES IN NEW YORK - MANHATTAN (NEW YORK) DURING BLACK LIVES MATTER DEMONSTRATIONS OVER THE DEATH OF GEORGE FLOYD, A BLACK MAN KILLED BY POLICE IN MINNEAPOLIS. A JOURNALIST WAS ARRESTED FOR BREAKING CURFEW DESPITE PRESS EXEMPTION.",CROWD SIZE=SEVERAL
PROTESTS,EXCESSIVE FORCE AGAINST PROTESTERS,6,1,2020-06-01,2020,PROTESTERS (UNITED STATES),CIVILIANS (AUSTRALIA); JOURNALISTS (AUSTRALIA); BLM: BLACK LIVES MATTER,POLICE FORCES OF THE UNITED STATES (2017-2021),"POLICE FORCES OF THE UNITED STATES (2017-2021) BUREAU OF ALCOHOL, TOBACCO, FIREARMS AND EXPLOSIVES; POLICE FORCES OF THE UNITED STATES (2017-2021) DRUG ENFORCEMENT ADMINISTRATION; POLICE FORCES OF THE UNITED STATES (2017-2021) FEDERAL BUREAU OF INVESTIGATION; POLICE FORCES OF THE UNITED STATES (2017-2021) MARSHALS SERVICE; POLICE FORCES OF THE UNITED STATES (2017-2021) NATIONAL PARK SERVICE; MILITARY FORCES OF THE UNITED STATES (2017-2021) NATIONAL GUARD",WASHINGTON DC,DISTRICT OF COLUMBIA,0,AMNESTY INTERNATIONAL; AP; PROPUBLICA; US PRESS FREEDOM TRACKER; WASHINGTON POST,OTHER-SUBNATIONAL,YES,"ON 1 JUNE 2020, PEOPLE HELD A MARCH IN WASHINGTON DC (DISTRICT OF COLUMBIA) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT AND AGAINST POLICE BRUTALITY AND THE DEATH OF GEORGE FLOYD. METRO POLICE, ASSISTED BY THE FBI, ATF, DEA, NPS, MARSHALS, AND NATIONAL GUARD, GAVE 3 ORDERS TO DISPERSE. WHEN THE CROWD DID NOT OBLIGE, THE NATIONAL GUARD FORCES USED SMOKE CANISTERS AND PEPPER BALLS TO DRIVE DEMONSTRATORS BACK FROM LAFAYETTE SQUARE AS PRESIDENT TRUMP WALKED THROUGH THE PARK TO HAVE A PHOTO TAKEN AT ST. JOHN'S CHURCH. POLICE ARRESTED 300 PEOPLE. A POLICE OFFICER USED A SHIELD AND THEN HIS HAND TO HIT 2 AUSTRALIAN JOURNALISTS BEFORE ALSO USING SMOKE CANISTERS, STINGER BALLS AND PEPPER BALLS AGAINST THEM. A MAN WHO WAS BACKING UP IN A LINE WAS HIT WITH A SHIELD IN THE SIDE OF THE HEAD AND STARTED BLEEDING. A REPORT RELEASED BY THE ACLU IN MARCH 2021 NOTES THAT POLICE DID NOT ALLOW DEMONSTRATORS TO RETURN HOME, INSTEAD KETTLING THEM AND CONDUCTING MASS ARRESTS FOR CURFEW VIOLATIONS USING 'EXCESSIVE FORCE.' ALL 300 ARRESTED WERE CITED FOR CURFEW VIOLATIONS.",CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,6,1,2020-06-01,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,POLICE FORCES OF THE UNITED STATES (2017-2021),CIVILIANS (UNITED STATES),CICERO,ILLINOIS,2,AP,INTERNATIONAL,YES,"ON 1 JUNE 2020, PEOPLE DEMONSTRATED AND RIOTED, VANDALIZING AND LOOTING STORES, IN CICERO (ILLINOIS) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT AND AGAINST POLICE BRUTALITY. POLICE INTERVENED AND 60 PEOPLE WERE ARRESTED. TWO BYSTANDERS WERE SHOT DEAD DURING THE RIOT.",CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,6,1,2020-06-01,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,,,PROVIDENCE,RHODE ISLAND,0,CROWD COUNTING CONSORTIUM; NEWPORT DAILY NEWS,OTHER-SUBNATIONAL,NO,"ON 1 JUNE 2020, 200 PEOPLE RIOTED IN PROVIDENCE (RHODE ISLAND) AS PART OF NATIONAL UNREST IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT AND AGAINST POLICE BRUTALITY. HUNDREDS OF PEOPLE SMASHED STOREFRONT WINDOWS AND BROKE INTO PROVIDENCE PLACE MALL, AS WELL AS SET A POLICE CRUISER IN FIRE.",CROWD SIZE=200
RIOTS,VIOLENT DEMONSTRATION,6,1,2020-06-01,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,,,RICHMOND,CALIFORNIA,0,ABC7 (SAN FRANCISCO); CROWD COUNTING CONSORTIUM,OTHER-SUBNATIONAL,NO,"ON 1 JUNE 2020, PEOPLE DEMONSTRATED IN RICHMOND (CALIFORNIA) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT AND AGAINST POLICE BRUTALITY AND THE DEATH OF GEORGE FLOYD. A GROUP OF RIOTERS LOOTED BUSINESSES.",CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,6,1,2020-06-01,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,POLICE FORCES OF THE UNITED STATES (2017-2021),,PITTSBURGH,PENNSYLVANIA,0,CROWD COUNTING CONSORTIUM; KDKA2; PITTSBURGH CITY PAPER,OTHER-SUBNATIONAL,NO,"ON 1 JUNE 2020, MORE THAN A THOUSAND PEOPLE STAGED A DEMONSTRATION IN PITTSBURGH (PENNSYLVANIA) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT AND AGAINST POLICE BRUTALITY AND THE DEATH OF GEORGE FLOYD. AFTER THE MAIN MARCH, ABOUT 100 RIOTERS BROKE WINDOWS AND THREW WATER BOTTLES AND ROCKS AT POLICE OFFICERS. POLICE INTERVENED AGAINST THE REMAINING DEMONSTRATORS AND USED TEAR GAS, RUBBER BULLETS, AND SMOKE CANISTERS TO DISPERSE THE CROWD. AT LEAST FOUR PEOPLE WERE ARRESTED.",CROWD SIZE=MORE THAN 1000
RIOTS,VIOLENT DEMONSTRATION,5,31,2020-05-31,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER; CIVILIANS (UNITED STATES); JOURNALISTS (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2017-2021),,SAN FRANCISCO,CALIFORNIA,0,COUNT LOVE; ABC7 (SAN FRANCISCO); SAN FRANCISCO EXAMINER; SAN FRANCISCO CHRONICLE; SFIST,OTHER-SUBNATIONAL,NO,"ON 31 MAY 2020, APPROXIMATELY 3000 PEOPLE HELD A RALLY IN SAN FRANCISCO (CALIFORNIA) IN SUPPORT OF BLACK LIVES MATTER MOVEMENT AND AGAINST POLICE BRUTALITY AND THE DEATH OF GEORGE FLOYD. THE DEMONSTRATION TURNED VIOLENT LATER WITH REPORTS OF LOOTING. POLICE FORCES INTERVENED, EVENTUALLY ARRESTING MORE THAN 80 PEOPLE, INCLUDING A JOURNALIST WHO WAS COVERING THE EVENT. AUTHORITES CLAIMED THE ARRESTS WERE MADE MOSTLY FOR VIOLATIONS OF THE EMERGENCY CURFEW AND FOR LOOTING.",CROWD SIZE=APPROXIMATELY 3000
RIOTS,VIOLENT DEMONSTRATION,5,31,2020-05-31,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,POLICE FORCES OF THE UNITED STATES (2017-2021),,FORT WAYNE,INDIANA,0,WBOI; FOX55 FORT WAYNE,SUBNATIONAL-NATIONAL,NO,"ON 31 MAY 2020, HUNDREDS OF PEOPLE GATHERED FOR A VIGIL IN FORT WAYNE (INDIANA), IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT AND AGAINST POLICE BRUTALITY AND THE DEATH OF GEORGE FLOYD. SOME DEMONSTRATORS THREW OBJECTS INCLUDING ROCKS AND MILK JUGS AT CARS. LATER IN THE EVENING POLICE ARRESTED ONE PERSON FOR FIRING SHOTS IN THE AIR (NO MENTION IF THE PERSON WAS PART OF THE DEMONSTRATORS), THOUGH NO ONE WAS HURT. POLICE THEN DISPERSED THE DEMONSTRATORS AND ARRESTED THOSE WHO WOULD NOT LEAVE.",CROWD SIZE=HUNDREDS
RIOTS,VIOLENT DEMONSTRATION,5,31,2020-05-31,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,POLICE FORCES OF THE UNITED STATES (2017-2021),,SIOUX FALLS,SOUTH DAKOTA,0,COEUR D'ALENE PRESS,NATIONAL,NO,"ON 31 MAY 2020, 2,000 PEOPLE GATHERED AND SOME THREW ROCKS AT POLICE CARS IN SIOUX FALLS (SOUTH DAKOTA) AS PART OF THE BLACK LIVES MATTER MOVEMENT.","CROWD SIZE=2,000"
RIOTS,VIOLENT DEMONSTRATION,5,31,2020-05-31,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,POLICE FORCES OF THE UNITED STATES (2017-2021),,URBANA,ILLINOIS,0,VIRGINIAN-PILOT,NATIONAL,NO,"ON 31 MAY 2020, DEMONSTRATORS HELD A DEMONSTRATION AND DAMAGED POLICE CARS IN URBANA (ILLINOIS) AS PART OF THE BLACK LIVES MATTER MOVEMENT. THE POLICE RECEIVED MINOR INJURIES AND 27 PEOPLE WERE ARRESTED BETWEEN THAT DAY AND THE NEXT DAY.",CROWD SIZE=HUNDREDS
RIOTS,VIOLENT DEMONSTRATION,5,31,2020-05-31,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,,,WILLIAMSBURG,VIRGINIA,0,VINDICATOR,NATIONAL,NO,"ON 31 MAY 2020, A DEMONSTRATION WAS HELD IN WILLIAMSBURG (VIRGINIA) FOR BLACK LIVES MATTER. THERE WERE REPORTS OF LOOTING BY DEMONSTRATORS.",CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,5,31,2020-05-31,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER; CIVILIANS (UNITED STATES); JOURNALISTS (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2017-2021),,LINCOLN,NEBRASKA,0,COMMITTEE TO PROTECT JOURNALISTS; US PRESS FREEDOM TRACKER; LINCOLN JOURNAL STAR; KUBA,OTHER-SUBNATIONAL,NO,"ON 31 MAY 2020, A SMALL GROUP STAGED A DEMONSTRATION IN LINCOLN (NEBRASKA) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT AND AGAINST POLICE BRUTALITY AND THE DEATH OF GEORGE FLOYD, A BLACK MAN KILLED BY POLICE. THE DEMONSTRATION TURNED VIOLENT WHEN A GROUP OF DEMONSTRATOR BROKE STORE WINDOWS AND THREATENED POLICE OFFICERS, PROMPTING THE USE OF PEPPER SPRAY, TEAR GAS, AND RUBBER BULLETS, AS WELL AS THE DETAINMENT AND INJURY OF A JOURNALIST.",CROWD SIZE=SMALL
RIOTS,VIOLENT DEMONSTRATION,5,31,2020-05-31,2020,RIOTERS (UNITED STATES),BLM: BLACK LIVES MATTER,POLICE FORCES OF THE UNITED STATES (2017-2021),,SEATTLE,WASHINGTON,0,CROWD COUNTING CONSORTIUM; BUZZFEED,OTHER-NATIONAL,NO,"ON 31 MAY 2020, 10,000 PEOPLE DEMONSTRATED AND LATER RIOTED, DAMAGING SEVERAL BUILDINGS AND CARS, IN SEATTLE (WASHINGTON) IN SUPPORT OF THE BLACK LIVES MATTER MOVEMENT. THERE WERE ALSO CLASHES WITH THE POLICE, AND 57 PEOPLE WERE ARRESTED AND AT LEAST SIX POLICE OFFICERS WERE INJURED.","CROWD SIZE=10,000"
